product1,product2,样本数,相关系数,p值,显著性,关系类型,簇
外地茼蒿,红尖椒,157,0.28847020042701443,0.00024846397957573377,Yes,正相关,1
杏鲍菇(份),菜心(份),18,-0.2884516715331152,0.24571415961811358,No,无显著关联,1
红尖椒(份),虫草花(份),100,0.2884478404008195,0.003610348466805796,Yes,正相关,1
本地小毛白菜,海鲜菇(份),46,0.2883086034849931,0.052007633390040074,No,无显著关联,1
丝瓜尖,洪湖莲藕(粉藕),7,0.2882999880625789,0.5306506599466652,No,无显著关联,1
枝江红菜苔(份),青茄子,44,0.28828493211454304,0.057732466315674,No,无显著关联,1
菱角,鲜木耳(份),34,0.28820790810479424,0.09834037047187175,No,无显著关联,1
萝卜叶,马齿苋,36,0.28803088803088805,0.08847295559584703,No,无显著关联,1
红椒,蔡甸藜蒿,302,0.2877549397729737,3.61998949180249e-07,Yes,正相关,1
红杭椒,青尖椒,552,0.2876949364450939,5.572353574612477e-12,Yes,正相关,1
荸荠,蔡甸藜蒿,62,-0.2875058234196247,0.023462237378367983,Yes,负相关,1
灯笼椒,红杭椒(份),49,-0.2873954928620189,0.045252860681745465,Yes,负相关,1
红薯尖,青梗散花,261,0.2872839110582325,2.3725797330125874e-06,Yes,正相关,0
红尖椒,蔡甸藜蒿(份),10,-0.28671707693592685,0.42187255467716467,No,无显著关联,1
野藕,青红杭椒组合装(份),114,0.2867166045149258,0.001983026728422402,Yes,正相关,1
灯笼椒,虫草花,12,-0.2867132867132868,0.36625146058358227,No,无显著关联,1
槐花,青茄子,12,0.2867132867132868,0.36625146058358227,No,无显著关联,1
杏鲍菇,海鲜菇(包),31,0.28649648478644446,0.11815778545342293,No,无显著关联,1
丝瓜尖,鲜木耳,12,0.28646792922580305,0.3666800255760232,No,无显著关联,1
四川红香椿,姬菇,35,0.28643462497583344,0.09527839389631275,No,无显著关联,1
杏鲍菇(份),牛首生菜,9,-0.28593138470052,0.4557453596357701,No,无显著关联,1
圆茄子,枝江红菜苔(份),18,0.2859127859883675,0.25008124554857436,No,无显著关联,1
上海青(份),青线椒,121,0.2858734323523201,0.001480015438157337,Yes,正相关,1
双孢菇,西峡花菇,18,0.28586171310629516,0.25016959354548063,No,无显著关联,1
姬菇,蟹味菇(袋),55,0.28584486456747576,0.03438298930288814,Yes,正相关,1
上海青(份),红尖椒(份),188,0.28581370124942,7.008284511581779e-05,Yes,正相关,1
丝瓜尖,红灯笼椒,8,0.28571428571428575,0.4927262450169573,No,无显著关联,1
紫圆茄,青线椒,7,0.28571428571428575,0.5345092286010406,No,无显著关联,1
海鲜菇,鲜粽子叶,8,0.28571428571428575,0.4927262450169573,No,无显著关联,1
牛首油菜,紫白菜,7,0.28571428571428575,0.5345092286010406,No,无显著关联,1
枝江红菜苔,虫草花,8,-0.28571428571428575,0.4927262450169573,No,无显著关联,1
牛首油菜,野藕,8,-0.28571428571428575,0.4927262450169573,No,无显著关联,1
海鲜菇,红杭椒,326,0.285674676292879,1.538062429038054e-07,Yes,正相关,1
蟹味菇与白玉菇双拼(盒),鲜粽叶(袋),25,0.28560784305960807,0.16637190993916706,No,无显著关联,1
红线椒,青尖椒,22,0.2852301723454875,0.19820496106578125,No,无显著关联,1
灯笼椒,组合椒系列,11,0.28515883195257946,0.3953438669754036,No,无显著关联,1
海鲜菇,红椒,361,0.28491793889126044,3.603249503783983e-08,Yes,正相关,1
七彩椒,杏鲍菇(袋),168,0.28490350557503175,0.00018178035170449082,Yes,正相关,1
牛首生菜,西峡花菇,10,0.28484848484848485,0.42503815489214547,No,无显著关联,1
枝江红菜苔,枝江红菜苔(份),51,0.2848041803507431,0.04280070573916334,Yes,正相关,1
洪湖莲藕(粉藕),青杭椒,12,-0.28471397488206107,0.369751293157933,No,无显著关联,1
小白菜(份),青茄子,38,0.28468157203378397,0.08321652241420383,No,无显著关联,1
小青菜,茼蒿,232,0.2845905259661076,1.0690123626464888e-05,Yes,正相关,1
高瓜,鱼腥草(份),75,0.2844110366699438,0.013398257453486764,Yes,正相关,1
上海青(份),西峡香菇(份),57,0.2842006240770389,0.032151150313196326,Yes,正相关,1
小米椒,红尖椒,164,0.2836365021434972,0.00023285611560492131,Yes,正相关,1
木耳菜,蟹味菇,15,-0.2835899864651085,0.3057029482483253,No,无显著关联,1
红线椒,鲜木耳(份),7,0.2834733547569205,0.5378608490739458,No,无显著关联,1
蔡甸藜蒿,高瓜,154,0.28346012336470133,0.0003675645788368542,Yes,正相关,1
紫苏,面条菜,9,0.2833333333333333,0.46003032896571994,No,无显著关联,1
海鲜菇,豌豆尖,9,0.2833333333333333,0.46003032896571994,No,无显著关联,1
白玉菇(袋),白蒿,13,0.28331692433074146,0.3482419249285519,No,无显著关联,1
水果辣椒(份),洪湖藕带,21,0.283300279579342,0.21333851677284985,No,无显著关联,1
本地黄心油菜,灯笼椒,21,-0.2831168831168831,0.21364780365132666,No,无显著关联,1
娃娃菜,小米椒(份),231,0.2831125090529861,1.2463374183266865e-05,Yes,正相关,3
青线椒,鱼腥草,28,-0.28309377404198677,0.14435887722244312,No,无显著关联,1
西峡花菇,青红杭椒组合装(份),83,0.2829541469261982,0.009543624139031292,Yes,正相关,1
红尖椒(份),西峡香菇(份),48,0.28286742942290993,0.05140361697607778,No,无显著关联,1
小白菜,蟹味菇,37,-0.28284630116211595,0.089834690233986,No,无显著关联,1
双孢菇,萝卜叶,37,-0.28263189291683705,0.09008882818791393,No,无显著关联,1
小米椒(份),枝江青梗散花,329,0.28256600910338364,1.864339168733245e-07,Yes,正相关,3
姬菇(包),白玉菇(袋),302,0.2824455605610861,6.038125878355613e-07,Yes,正相关,1
青尖椒(份),黑油菜,14,0.28223964496028386,0.3282437763078757,No,无显著关联,1
双孢菇(盒),枝江青梗散花,238,0.2821117251872055,9.897974449364671e-06,Yes,正相关,3
随州泡泡青,鲜木耳(份),34,0.28204749180330474,0.10607406800432619,No,无显著关联,1
小青菜,长线茄,340,0.2817890373478267,1.2621234164530854e-07,Yes,正相关,1
冰草,杏鲍菇(袋),8,-0.2817180849095055,0.49906137962992314,No,无显著关联,1
七彩椒(份),红杭椒,10,-0.2814105882725793,0.430891087555198,No,无显著关联,1
丝瓜尖,水果辣椒(份),10,-0.2813379318451999,0.4310151837298156,No,无显著关联,1
小皱皮,黄心菜,53,0.2813312637901022,0.04128024665822086,Yes,正相关,1
虫草花,高瓜,73,-0.28121360101726833,0.015949338202351327,Yes,负相关,1
本地上海青,红杭椒,59,0.28113036617084075,0.03101289236633173,Yes,正相关,1
姬菇(包),平菇,213,0.2806325328237981,3.247099649381779e-05,Yes,正相关,1
杏鲍菇(袋),油菜苔,15,0.28062430400804556,0.3110069548789084,No,无显著关联,1
春菜,红椒,20,-0.28055662006620596,0.23085923187089058,No,无显著关联,1
紫白菜,虫草花(袋),10,0.2804930193267879,0.4324594956517145,No,无显著关联,1
白蒿,蟹味菇与白玉菇双拼(盒),14,0.28048568987066386,0.33138732908487134,No,无显著关联,1
红尖椒,红尖椒(份),63,-0.28045237116282135,0.02599192457038917,Yes,负相关,1
菜心(份),菱角,31,0.28041814437905976,0.12651615070516656,No,无显著关联,1
紫苏(份),红薯尖(份),13,0.28039985489311264,0.3534413023774433,No,无显著关联,1
本地上海青,马齿苋,13,0.2802197802197803,0.35376363563367896,No,无显著关联,1
姬菇(份),竹叶菜(份),33,-0.28016254725786244,0.11429777207727791,No,无显著关联,1
姬菇(包),野生粉藕,18,0.2799114717550412,0.2605972416982347,No,无显著关联,1
上海青(份),海鲜菇(份),137,0.27989060340242566,0.0009247237904819352,Yes,正相关,1
海鲜菇(包),高瓜,84,0.279541813704196,0.010017866291981587,Yes,正相关,1
随州泡泡青,青线椒(份),33,0.2794557158968463,0.11525283313414685,No,无显著关联,1
姜蒜小米椒组合装(小份),小白菜(份),45,0.279442068964805,0.06302289392392664,No,无显著关联,1
茶树菇(袋),黑油菜,15,0.279314596021447,0.31336618546562645,No,无显著关联,1
圆茄子,虫草花,71,0.27893210158616066,0.018494586796565727,Yes,正相关,1
菜心,金针菇,447,0.27856438897237523,2.072340350640953e-09,Yes,正相关,0
洪湖藕带,青茄子,220,-0.278386576537174,2.805329123411237e-05,Yes,负相关,1
杏鲍菇(袋),西峡花菇,52,0.27824627145195424,0.04579020304455348,Yes,正相关,1
东门口小白菜,姜蒜小米椒组合装(小份),34,0.27812761565304583,0.1112287027740894,No,无显著关联,1
七彩椒,青杭椒,33,0.27795420745924543,0.1173014291807375,No,无显著关联,1
红灯笼椒,青线椒,302,0.2777634124544081,9.398602391393334e-07,Yes,正相关,1
荸荠(份),青线椒,6,0.2777460299317655,0.5940940162568629,No,无显著关联,1
姜蒜小米椒组合装(小份),马兰头,6,0.2777460299317655,0.5940940162568629,No,无显著关联,1
牛首油菜,荸荠(份),6,0.27774602993176545,0.5940940162568629,No,无显著关联,1
白菜苔,荸荠,33,-0.27774064171123,0.11759500229988347,No,无显著关联,1
东门口小白菜,青杭椒,23,-0.2776679841897233,0.1995656005313296,No,无显著关联,1
和丰阳光海鲜菇(包),白玉菇(袋),17,-0.27750038760533496,0.2808680014308829,No,无显著关联,1
红杭椒,青杭椒(份),29,0.27742916089097996,0.14509871240874908,No,无显著关联,1
小青菜,青红杭椒组合装(份),126,0.2773892917603697,0.0016631204224181028,Yes,正相关,1
云南油麦菜,青梗散花,432,0.2773887584288361,4.513564347298884e-09,Yes,正相关,0
红椒,虫草花(袋),140,0.2773266985076559,0.000909018087648226,Yes,正相关,1
小青菜,本地黄心油菜,22,-0.27724449463579903,0.2116105135266433,No,无显著关联,1
小皱皮,青线椒,73,0.27718770489466643,0.01758987309906738,Yes,正相关,1
红杭椒(份),鱼腥草(份),59,0.27718679543247854,0.03355347990771571,Yes,正相关,1
面条菜,鱼腥草(份),12,-0.2771103210312983,0.3832199315179715,No,无显著关联,1
紫苏,红杭椒,43,0.27697651589518996,0.07216148134033659,No,无显著关联,1
红杭椒(份),茶树菇(袋),24,0.2768370658065737,0.1903347452690165,No,无显著关联,1
青杭椒(份),鱼腥草(份),10,-0.2766092678358772,0.4391270916871398,No,无显著关联,1
冰草,白玉菇(袋),15,0.276409327632257,0.318636382027113,No,无显著关联,1
平菇,紫苏,34,0.27639419404125287,0.11356725320617687,No,无显著关联,1
上海青(份),姜蒜小米椒组合装(小份),197,0.27624425795625906,8.518125883070011e-05,Yes,正相关,1
小青菜(份),萝卜叶,19,-0.2760446227386936,0.25263804071375767,No,无显著关联,1
红杭椒,萝卜叶,108,0.2760424233626891,0.003831094892091864,Yes,正相关,1
四川红香椿,菜心(份),29,0.2760134498563371,0.14724703428796823,No,无显著关联,1
青梗散花,黄白菜,429,0.27575773246741686,6.325974922286872e-09,Yes,正相关,0
虫草花(份),黄心菜,134,0.2757544440881192,0.001259959775144619,Yes,正相关,1
姬菇,青线椒,334,0.27563405060539803,3.0880732358321326e-07,Yes,正相关,1
姬菇,红杭椒,307,0.27557724772895315,9.386109731428107e-07,Yes,正相关,1
油菜苔,青线椒,18,0.27554179566563464,0.2684251313890622,No,无显著关联,1
竹叶菜(份),青杭椒(份),61,0.27549571598483996,0.03163826662382552,Yes,正相关,1
大白菜,菜心,456,-0.2754911455100842,2.192067285659861e-09,Yes,负相关,0
红椒,虫草花(份),237,0.27547474982913966,1.692734921085959e-05,Yes,正相关,1
马齿苋,鲜粽叶(袋),8,0.27534439587696746,0.5092296536355514,No,无显著关联,1
辣妹子,长线茄,70,0.2753335375603817,0.021059792169547942,Yes,正相关,1
小青菜(份),蟹味菇与白玉菇双拼(盒),15,0.2753293248399624,0.320608442314765,No,无显著关联,1
四川红香椿,洪湖莲藕(粉藕),88,0.2751460671869175,0.009473511018659243,Yes,正相关,1
枝江红菜苔,青尖椒,251,0.27494509092948927,9.884647979090519e-06,Yes,正相关,1
青尖椒(份),青线椒,72,-0.27492194786275775,0.019429118952083775,Yes,负相关,1
枝江青梗散花,金针菇(盒),323,0.27480783086448723,5.257530631904616e-07,Yes,正相关,3
荠菜,青茄子,14,0.27472527472527475,0.34182974371948127,No,无显著关联,1
红椒(份),青茄子,26,0.2746835845233187,0.17445577488744357,No,无显著关联,1
四川红香椿,红杭椒(份),25,0.2743899567636926,0.18439074950839157,No,无显著关联,1
上海青,红薯尖,530,0.27427708899171976,1.3361104783311735e-10,Yes,正相关,0
小青菜(份),红尖椒(份),141,0.2742656511526672,0.0009980447121076164,Yes,正相关,1
姬菇(份),荸荠,9,-0.27359422722270776,0.4762450191629366,No,无显著关联,1
红椒,青线椒(份),246,0.2735579361446777,1.3487904311260062e-05,Yes,正相关,1
蔡甸藜蒿,青线椒(份),64,0.2729536018002526,0.02909385326287633,Yes,正相关,1
姬菇,紫白菜,12,0.27272727272727276,0.3910967709418962,No,无显著关联,1
豌豆尖,长线茄,12,0.27272727272727276,0.3910967709418962,No,无显著关联,1
枝江红菜苔,薄荷叶,10,0.2727272727272727,0.44583834154275137,No,无显著关联,1
白菜苔,秀珍菇,10,0.2727272727272727,0.44583834154275137,No,无显著关联,1
洪湖莲藕(粉藕),白玉菇(袋),309,0.27249629707464207,1.1563719686570208e-06,Yes,正相关,1
和丰阳光海鲜菇(包),红椒(份),16,-0.2723859460505779,0.30743042737963566,No,无显著关联,1
枝江红菜苔,花茄子,28,0.27237887689064694,0.16083782021633014,No,无显著关联,1
姬菇(份),杏鲍菇(份),4,0.2721655269759087,0.7278344730240913,No,无显著关联,1
茶树菇(袋),高瓜,26,0.2720577172957128,0.17877835608213413,No,无显著关联,1
外地茼蒿,花茄子,32,0.2719941348973607,0.13207442738921274,No,无显著关联,1
辣妹子,青茄子,57,0.2719774432792151,0.040692483322257784,Yes,正相关,1
杏鲍菇(份),青线椒,19,0.27190173031783343,0.26011857412172834,No,无显著关联,1
蟹味菇与白玉菇双拼(盒),银耳(朵),58,0.2718501269991914,0.03898611360658165,Yes,正相关,1
杏鲍菇(份),蟹味菇(盒),11,-0.27183639863769055,0.41872542266795665,No,无显著关联,1
牛排菇(盒),青线椒(份),12,0.27176772238561747,0.3928321307106405,No,无显著关联,1
花茄子,青线椒,76,0.27172122468921417,0.017576925511356558,Yes,正相关,1
云南油麦菜,金针菇,465,0.27165182905213464,2.6098083632272735e-09,Yes,正相关,0
本地上海青,紫贝菜,15,-0.2714285714285714,0.3277893068411727,No,无显著关联,1
四川红香椿,随州泡泡青,18,0.2714138286893705,0.27595238461589006,No,无显著关联,1
杏鲍菇,长线茄,155,0.27082294384893574,0.0006535725272669785,Yes,正相关,1
青红杭椒组合装(份),黑油菜,10,0.270801280154532,0.4491852064013532,No,无显著关联,1
水果辣椒,鱼腥草(份),14,-0.27072671006358096,0.34918437960610016,No,无显著关联,1
本地上海青,虫草花,20,0.2706766917293233,0.24839056913669727,No,无显著关联,1
蟹味菇与白玉菇双拼(盒),面条菜,16,-0.2705375510889391,0.31085482303167733,No,无显著关联,1
白玉菇(盒),青线椒,42,0.2705118694645294,0.0831526948088304,No,无显著关联,1
小白菜,白菜苔,14,0.2703296703296703,0.3499193863496043,No,无显著关联,1
田七,莲蓬(个),9,0.2700445979615082,0.4822136336263805,No,无显著关联,1
海鲜菇(份),鲜木耳(份),121,0.2700418918590001,0.0027400868706392123,Yes,正相关,1
苋菜,菜心,435,0.2699887573416593,1.056173284347154e-08,Yes,正相关,0
小白菜,海鲜菇(包),35,0.26976080280667675,0.11707267903903933,No,无显著关联,1
小白菜,萝卜叶,49,0.2697517794699048,0.06087127835123169,No,无显著关联,1
七彩椒,菜心(份),113,0.2697241462509974,0.003863780607228811,Yes,正相关,1
杏鲍菇,鱼腥草(份),128,0.26946875463811387,0.0020987517008555887,Yes,正相关,1
洪湖藕带,莲蓬(个),61,0.26925383848980716,0.035873611074730576,Yes,正相关,1
上海青(份),姬菇(份),86,0.26886790341407946,0.012308666843420805,Yes,正相关,1
小青菜(份),红灯笼椒,109,0.26866439777870943,0.004732038590055504,Yes,正相关,1
水果辣椒(份),红椒,74,0.26864129872575454,0.020650440094943368,Yes,正相关,1
小青菜,青尖椒,204,0.2685923690456566,0.00010262006329392252,Yes,正相关,1
小米椒,高瓜,345,0.26858851499511316,4.104270656572784e-07,Yes,正相关,1
大龙茄子,茼蒿,73,-0.26857751110056033,0.021589748154682276,Yes,负相关,1
枝江红菜苔,白玉菇(袋),241,0.26832921215633193,2.4256454326207487e-05,Yes,正相关,1
红尖椒(份),豌豆尖,22,0.26804550000374355,0.22778612935789946,No,无显著关联,1
菜心(份),马兰头,11,-0.2679333976777111,0.4256991402855699,No,无显著关联,1
杏鲍菇,面条菜,22,-0.26772099344903183,0.22837117344060523,No,无显著关联,1
菜心(份),青杭椒(份),81,0.26734222070586006,0.01583159251521718,Yes,正相关,1
海鲜菇(份),青红杭椒组合装(份),98,0.26732433204674183,0.007790090682303637,Yes,正相关,1
枝江红菜苔,青尖椒(份),49,-0.267245935965914,0.0634035508353713,No,无显著关联,1
秀珍菇,红杭椒,17,0.26715686274509803,0.29991791209590246,No,无显著关联,1
姬菇(包),本地上海青,28,0.26710115938122586,0.1694282557587743,No,无显著关联,1
洪湖莲藕(粉藕),黄心菜,272,0.2668637945365674,8.114256014330936e-06,Yes,正相关,1
姜蒜小米椒组合装(小份),白菜苔,8,-0.2667107547328796,0.5231267001703013,No,无显著关联,1
洪湖藕带,鲜粽叶,9,-0.26666666666666666,0.4879222748387009,No,无显著关联,1
木耳菜,鲜粽叶,9,0.26666666666666666,0.4879222748387009,No,无显著关联,1
枝江红菜苔(份),蟹味菇(盒),22,0.26624791677904724,0.23103934898420664,No,无显著关联,1
海鲜菇,鱼腥草,30,0.2661622491680911,0.15511939129344687,No,无显著关联,1
海鲜菇(袋),红薯尖,379,-0.2661576869382334,1.4437608138586655e-07,Yes,负相关,0
白菜苔,组合椒系列,35,-0.2660036911258333,0.12246157672181104,No,无显著关联,1
姬菇,白玉菇,56,0.2659149983413358,0.047606239269476935,Yes,正相关,1
姬菇(份),杏鲍菇,83,0.26576397911127164,0.015167803764185342,Yes,正相关,1
奶白菜(份),金针菇(盒),222,0.2657630030551554,6.077745094450879e-05,Yes,正相关,3
海鲜菇,长线茄,142,0.2657149802646038,0.0013933338298243471,Yes,正相关,1
红灯笼椒,蟹味菇(盒),13,-0.26562258174118025,0.3804172560499425,No,无显著关联,1
上海青(份),青杭椒(份),83,0.2655680938710642,0.015245651766276468,Yes,正相关,1
双孢菇,马齿苋,28,0.2654625068418172,0.17216009642461616,No,无显著关联,1
云南油麦菜,菠菜,659,0.2654590490927545,4.319737198883025e-12,Yes,正相关,0
白菜苔,青杭椒(份),16,0.265137226222802,0.32098694307266823,No,无显著关联,1
虫草花(袋),蟹味菇,21,0.26509905809062995,0.2454895041819707,No,无显著关联,1
海鲜菇(份),红杭椒,13,0.2650242174190358,0.3815317688543385,No,无显著关联,1
水果辣椒(份),青线椒,72,-0.26496241585420555,0.024493528990956342,Yes,负相关,1
红尖椒,红椒,307,0.2648342158410837,2.5308511833910334e-06,Yes,正相关,1
平菇,苋菜(份),6,-0.26482044885142486,0.6120552385657049,No,无显著关联,1
丝瓜尖,红杭椒(份),6,-0.26482044885142486,0.6120552385657049,No,无显著关联,1
竹叶菜(份),紫苏,6,0.26482044885142486,0.6120552385657049,No,无显著关联,1
长线茄,青杭椒(份),92,0.26420062937773714,0.010931981744909693,Yes,正相关,1
小皱皮,红尖椒,36,0.2641266572274424,0.11956073781003813,No,无显著关联,1
海鲜菇(包),青红杭椒组合装(份),38,0.264039394232663,0.10918882503878553,No,无显著关联,1
甜白菜,金针菇(袋),209,-0.26401825186126676,0.0001121224307450292,Yes,负相关,0
上海青,金针菇,465,0.26398805515263307,7.464345913146612e-09,Yes,正相关,0
洪湖莲藕(粉藕),红杭椒,152,0.2638755452275408,0.0010204006824706124,Yes,正相关,1
七彩椒,秀珍菇,13,-0.26373626373626374,0.3839365166506743,No,无显著关联,1
东门口小白菜,竹叶菜(份),33,0.2637049647565485,0.13811414607511338,No,无显著关联,1
小白菜,鲜藕带(袋),5,0.26352313834736496,0.6683968370871736,No,无显著关联,1
七彩椒(份),杏鲍菇(袋),5,-0.2635231383473649,0.6683968370871737,No,无显著关联,1
姬菇(份),小白菜,24,-0.26325410796182785,0.21390654332279793,No,无显著关联,1
红杭椒(份),红薯尖(份),47,0.2632158061280207,0.0738413528344728,No,无显著关联,1
灯笼椒,龙牙菜,22,0.2632024956693013,0.23662005732360752,No,无显著关联,1
上海青(份),木耳菜,78,0.26286088554833376,0.020067036360035352,Yes,正相关,1
东门口小白菜,杏鲍菇,240,0.2628214128918803,3.738554368687148e-05,Yes,正相关,1
小青菜(份),青线椒(份),124,0.26221241138788287,0.0032614272028907527,Yes,正相关,1
海鲜菇,青杭椒,88,0.26203841903682457,0.01365364251702465,Yes,正相关,1
白菜苔,花茄子,8,0.261904761904762,0.530922861565801,No,无显著关联,1
竹叶菜(份),菱角,29,0.2616847888014306,0.17029320923107696,No,无显著关联,1
姬菇(包),西峡花菇,45,0.2616846307875366,0.08248655234830933,No,无显著关联,1
冰草(盒),青红尖椒组合装(份),7,0.2616835127965941,0.5708053872442453,No,无显著关联,1
水果辣椒(份),牛排菇(盒),12,0.26162512084835027,0.4114130276099581,No,无显著关联,1
双孢菇,白菜苔,14,-0.26153846153846155,0.3664111370667421,No,无显著关联,1
青杭椒,高瓜,81,0.2613821138211382,0.01842277835312068,Yes,正相关,1
长线茄,高瓜,293,0.26136317419998145,5.794747114513858e-06,Yes,正相关,1
冰草(盒),小青菜,21,-0.26111648393354675,0.25291878593302897,No,无显著关联,1
洪湖莲藕(粉藕),龙牙菜,63,0.2610231767059252,0.038801138372547096,Yes,正相关,1
小白菜(份),竹叶菜(份),32,0.26092361388425794,0.14918773998319546,No,无显著关联,1
杏鲍菇,菜心(份),150,0.2609125228576708,0.0012604910049991353,Yes,正相关,1
水果辣椒(份),青杭椒(份),54,0.2608934698311468,0.056721281550615434,No,无显著关联,1
小白菜,高瓜,377,0.2608197351966426,2.798105000383692e-07,Yes,正相关,1
蔡甸藜蒿,银耳(朵),40,0.2607875836547526,0.10409258694970544,No,无显著关联,1
本地黄心油菜,紫苏,15,0.2607142857142857,0.34797945986279355,No,无显著关联,1
双孢菇,蟹味菇,15,-0.260649199866095,0.34810418603322946,No,无显著关联,1
海鲜菇(袋),金针菇,401,0.2606455502011867,1.1906344242421631e-07,Yes,正相关,0
牛排菇,牛首油菜,10,0.2606060606060606,0.4670890543863402,No,无显著关联,1
平菇,黑皮鸡枞菌,16,-0.2604857217345777,0.3298656564273067,No,无显著关联,1
蟹味菇与白玉菇双拼(盒),鲜木耳(份),27,0.26039789199165847,0.18958467430143536,No,无显著关联,1
姬菇,莲蓬(个),15,0.26032693571842824,0.34872211943358544,No,无显著关联,1
本地上海青,蔡甸藜蒿,20,0.26024823201851816,0.26779388169280677,No,无显著关联,1
姬菇(份),枝江红菜苔(份),9,-0.26015508752245803,0.4990047816505784,No,无显著关联,1
小白菜,蔡甸藜蒿,117,0.2599165650428198,0.004654043825613594,Yes,正相关,1
西峡香菇(份),青茄子,24,0.25988710165448636,0.22003948251505961,No,无显著关联,1
紫贝菜,蔡甸藜蒿,39,0.2598835767754489,0.11009676399352429,No,无显著关联,1
灯笼椒,青线椒,259,0.25955281454335766,2.3409325129981368e-05,Yes,正相关,1
银耳(朵),鱼腥草(份),58,0.2595426405591375,0.04913164302234395,Yes,正相关,1
杏鲍菇(袋),青杭椒,63,-0.2594874219079294,0.04000505712956075,Yes,负相关,1
青杭椒(份),面条菜,7,0.2594372608313854,0.5742370658329918,No,无显著关联,1
萝卜叶,鲜木耳(份),9,0.25941649671427414,0.5002682642509535,No,无显著关联,1
小青菜(份),荸荠,28,0.25927449140552394,0.18275560178060596,No,无显著关联,1
青红杭椒组合装(份),黄心菜,154,0.2591860784632967,0.0011709633428658966,Yes,正相关,1
花茄子,随州泡泡青,22,0.259175607001694,0.2441331865660933,No,无显著关联,1
白玉菇(袋),组合椒系列,157,0.25908548524727043,0.00105094319268357,Yes,正相关,1
姬菇(包),灯笼椒,163,0.2590625519764288,0.0008401117232948086,Yes,正相关,1
姬菇,黄心菜,266,0.2590551466023271,1.8821982766988904e-05,Yes,正相关,1
青尖椒,鲜藕带(袋),7,0.25896619868911863,0.5749575425536368,No,无显著关联,1
蔡甸藜蒿,虫草花(份),44,0.2587669343539264,0.0898715691150036,No,无显著关联,1
随州泡泡青,黄心菜,87,0.2585034013632276,0.015626297568963998,Yes,正相关,1
春菜,青线椒(份),13,0.2584922421118907,0.3938091821513351,No,无显著关联,1
蟹味菇,银耳(朵),13,0.25847085861027574,0.3938497066850518,No,无显著关联,1
上海青(份),虫草花(份),101,0.2583412927234936,0.009096165102906452,Yes,正相关,1
蟹味菇(袋),鲜木耳,89,0.2582880532608935,0.014531079300684115,Yes,正相关,1
平菇,灯笼椒(份),4,0.2581988897471611,0.7418011102528389,No,无显著关联,1
灯笼椒(份),荸荠,4,0.2581988897471611,0.7418011102528389,No,无显著关联,1
红灯笼椒(份),虫草花(份),4,-0.2581988897471611,0.7418011102528389,No,无显著关联,1
银耳(朵),青杭椒,4,0.2581988897471611,0.7418011102528389,No,无显著关联,1
七彩椒,绣球菌,4,0.2581988897471611,0.7418011102528389,No,无显著关联,1
枝江红菜苔,灯笼椒(份),4,0.2581988897471611,0.7418011102528389,No,无显著关联,1
红椒(份),苋菜(份),4,0.2581988897471611,0.7418011102528389,No,无显著关联,1
灯笼椒(份),红尖椒,4,-0.2581988897471611,0.7418011102528389,No,无显著关联,1
七彩椒,红灯笼椒(份),4,-0.2581988897471611,0.7418011102528389,No,无显著关联,1
牛排菇(盒),荸荠,4,-0.2581988897471611,0.7418011102528389,No,无显著关联,1
虫草花,虫草花(份),4,0.2581988897471611,0.7418011102528389,No,无显著关联,1
灯笼椒,红灯笼椒(份),4,-0.2581988897471611,0.7418011102528389,No,无显著关联,1
小青菜,灯笼椒(份),4,-0.2581988897471611,0.7418011102528389,No,无显著关联,1
奶白菜苗,杏鲍菇(袋),4,-0.2581988897471611,0.7418011102528389,No,无显著关联,1
枝江红菜苔(份),灯笼椒(份),4,-0.2581988897471611,0.7418011102528389,No,无显著关联,1
灯笼椒(份),牛首油菜,4,-0.2581988897471611,0.7418011102528389,No,无显著关联,1
大白菜秧,蟹味菇与白玉菇双拼(盒),4,-0.2581988897471611,0.7418011102528389,No,无显著关联,1
水果辣椒(份),红莲藕带,4,-0.2581988897471611,0.7418011102528389,No,无显著关联,1
洪湖莲藕(粉藕),紫贝菜,28,0.25819235562250625,0.18465419584916304,No,无显著关联,1
七彩椒,小白菜(份),37,0.25806232202107365,0.12304748458172958,No,无显著关联,1
水果辣椒,黄心菜,22,-0.25804630152456237,0.2462676031323685,No,无显著关联,1
奶白菜,菜心,556,0.2577019991733033,6.945963373605158e-10,Yes,正相关,0
小皱皮,红椒,78,0.2576949341362878,0.022740181618138282,Yes,正相关,1
七彩椒,牛排菇(盒),9,0.2574383611739353,0.503658582234151,No,无显著关联,1
马兰头,高瓜,6,0.2571428571428572,0.6227871720116618,No,无显著关联,1
花茄子,鲜粽叶,6,-0.2571428571428572,0.6227871720116618,No,无显著关联,1
丝瓜尖,鱼腥草,6,0.2571428571428572,0.6227871720116618,No,无显著关联,1
小皱皮,海鲜菇(包),6,-0.2571428571428572,0.6227871720116618,No,无显著关联,1
虫草花,青线椒(份),6,0.2571428571428572,0.6227871720116618,No,无显著关联,1
油菜苔,薄荷叶,6,-0.2571428571428572,0.6227871720116618,No,无显著关联,1
本地小毛白菜,苋菜(份),6,0.2571428571428572,0.6227871720116618,No,无显著关联,1
冰草(盒),青线椒(份),20,0.25709389154074835,0.27384508473139735,No,无显著关联,1
